DATE CO
20140101 0.6
20140102 0.7
20140103 0.9
20140104 0.6
20140105 0.7
20140106 1.0
20140107 1.1
20140108 0.7
20140109 0.3
20140110 0.6
20140111 0.8
20140112 0.7
20140113 0.4
20140114 0.6
20140115 0.8
20140116 1.1
20140117 1.3
20140118 0.6
20140119 0.6
20140120 0.7
20140121 0.8
20140122 0.9
20140123 1.0
20140124 1.0
20140125 1.0
20140126 0.4
20140127 0.7
20140128 0.5
20140129 0.8
20140130 0.6
20140131 0.5
20140201 0.7
20140202 0.7
20140203 0.4
20140204 0.4
20140205 0.5
20140206 0.7
20140207 0.4
20140208 0.4
20140209 0.4
20140210 0.5
20140211 0.4
20140212 0.5
20140213 0.5
20140214 0.4
20140215 0.6
20140216 0.8
20140217 0.7
20140218 0.4
20140219 0.4
20140220 0.7
20140221 0.7
20140222 0.9
20140223 0.9
20140224 1.1
20140225 1.2
20140226 1.1
20140227 1.0
20140228 0.9
20140301 0.8
20140302 0.4
20140303 0.6
20140304 0.8
20140305 0.4
20140306 0.4
20140307 0.4
20140308 0.5
20140309 0.4
20140310 0.4
20140311 0.6
20140312 0.7
20140313 0.5
20140314 0.5
20140315 0.6
20140316 0.6
20140317 0.6
20140318 0.5
20140319 0.6
20140320 0.5
20140321 0.4
20140322 0.5
20140323 0.6
20140324 0.5
20140325 0.4
20140326 0.5
20140327 0.7
20140328 0.7
20140329 0.5
20140330 0.5
20140331 0.6
20140401 0.6
20140402 0.5
20140403 0.5
20140404 0.3
20140405 0.4
20140406 0.3
20140407 0.5
20140408 0.5
20140409 0.6
20140410 0.5
20140411 0.6
20140412 0.7
20140413 0.6
20140414 0.6
20140415 0.5
20140416 0.8
20140417 0.7
20140418 0.5
20140419 0.4
20140420 0.3
20140421 0.5
20140422 0.5
20140423 0.7
20140424 0.7
20140425 0.6
20140426 0.5
20140427 0.3
20140428 0.3
20140429 0.3
20140430 0.3
20140501 0.4
20140502 0.6
20140503 0.3
20140504 0.4
20140505 0.3 
20140506 0.4
20140507 0.4
20140508 0.4
20140509 0.5
20140510 0.5
20140511 0.3
20140512 0.5
20140513 0.7
20140514 0.5
20140515 0.4
20140516 0.5
20140517 0.6
20140518 0.5
20140519 0.5
20140520 0.4
20140521 0.3
20140522 0.4
20140523 0.5
20140524 0.5
20140525 0.4
20140526 0.4
20140527 0.5
20140528 0.6
20140529 0.6
20140530 0.5
20140531 0.5
20140601 0.4
20140602 0.5
20140603 0.3
20140604 0.3
20140605 0.3
20140606 0.3
20140607 0.4
20140608 0.3
20140609 0.4
20140610 0.4
20140611 0.3
20140612 0.3
20140613 0.4
20140614 0.4
20140615 0.3
20140616 0.4
20140617 0.6
20140618 0.5
20140619 0.4
20140620 0.5
20140621 0.4
20140622 0.4
20140623 0.5
20140624 0.4
20140625 0.5
20140626 0.4
20140627 0.3
20140628 0.3
20140629 0.4
20140630 0.4
20140701 0.5
20140702 0.5
20140703 0.4
20140704 0.3
20140705 0.4
20140706 0.3
20140707 0.4
20140708 0.4
20140709 0.4
20140710 0.3
20140711 0.6
20140712 0.5
20140713 0.4
20140714 0.5
20140715 0.5
20140716 0.4
20140717 0.3
20140718 0.3
20140719 0.3
20140720 0.4
20140721 0.4
20140722 0.3
20140723 0.4
20140724 0.4
20140725 0.3
20140726 0.4
20140727 0.5
20140728 0.6
20140729 0.4
20140730 0.4
20140731 0.4
20140801 0.3
20140802 0.2
20140803 0.2
20140804 0.3
20140805 0.4
20140806 0.5
20140807 0.5
20140808 0.3
20140809 0.3
20140810 0.3
20140811 0.3
20140812 0.4
20140813 0.6
20140814 0.4
20140815 0.4
20140816 0.4
20140817 0.4
20140818 0.3
20140819 0.4
20140820 0.5
20140821 0.4
20140822 0.6
20140823 0.6
20140824 0.5
20140825 0.5
20140826 0.3
20140827 0.3
20140828 0.3
20140829 0.4
20140830 0.4
20140831 0.4
20140901 0.5
20140902 0.4
20140903 0.3
20140904 0.3
20140905 0.4
20140906 0.4
20140907 0.5
20140908 0.5
20140909 0.5
20140910 0.4
20140911 0.4
20140912 0.5
20140913 0.4
20140914 0.3
20140915 0.4
20140916 0.3
20140917 0.4
20140918 0.4
20140919 0.4
20140920 0.4
20140921 0.4
20140922 0.4
20140923 0.4
20140924 0.4
20140925 0.4
20140926 0.4
20140927 0.4
20140928 0.5
20140929 0.6
20140930 0.4
20141001 0.3
20141002 0.5
20141003 0.6
20141004 0.4
20141005 0.3
20141006 0.3
20141007 0.4
20141008 0.5
20141009 0.5
20141010 0.5
20141011 0.4
20141012 0.4
20141013 0.3
20141014 0.3
20141015 0.5
20141016 0.4
20141017 0.5
20141018 0.6
20141019 0.6
20141020 0.6
20141021 0.4
20141022 0.4
20141023 0.5
20141024 0.7
20141025 0.7
20141026 0.5
20141027 0.3
20141028 0.6
20141029 0.8
20141030 1.0
20141031 0.7
20141101 0.5
20141102 0.4
20141103 0.3
20141104 0.6
20141105 0.6
20141106 0.7
20141107 0.6
20141108 0.8
20141109 0.6
20141110 0.9
20141111 0.9
20141112 0.4
20141113 0.3
20141114 0.5
20141115 0.6
20141116 0.7
20141117 0.6
