MON_DATE ECO_PSY
200301 99.5
200302 100.8
200303 90.0
200304 96.2
200305 94.1
200306 90.6
200307 90.2
200308 97.1
200309 97.2
200310 97.1
200311 101.5
200312 101.3
200401 104.8
200402 105.8
200403 104.3
200404 107.1
200405 97.5
200406 94.8
200407 93.4
200408 94.4
200409 96.1
200410 93.5
200411 89.9
200412 97.9
200501 93.1
200502 106.9
200503 109.8
200504 109.5
200505 102.3
200506 100.5
200507 97.3
200508 101.9
200509 105.5
200510 104
200511 108.3
200512 111.3
200601 114.2
200602 115.7
200603 116.7
200604 115
200605 108.4
200606 101.8
200607 104.1
200608 105.9
200609 108.5
200610 108.5
200611 108.5
200612 106.1
200701 104.9
200702 111.9
200703 112.5
200704 114.1
200705 113.4
200706 112.1
200707 113.7
200708 116.2
200709 115.2
200710 113.9
200711 113
200712 110
200801 110.3
200802 112.8
200803 105.4
200804 107
200805 102.4
200806 96.9
200807 91.5
200808 100.2
200809 95.9
200810 79.3
200811 67.1
200812 56.1
200901 63.1
200902 66.1
200903 69.6
200904 87.8
200905 93.2
200906 96.8
200907 97.7
200908 106.9
200909 108.4
200910 111
200911 107.2
200912 109
201001 112.2
201002 115.7
201003 114.5
201004 116
201005 115.2
201006 114
201007 113.9
201008 112.6
201009 113
201010 110.6
201011 112
201012 110.3
201101 110.2
201102 111.9
201103 108.2
201104 112
201105 110.1
201106 106.8
201107 106
201108 104.4
201109 104.2
201110 102
201111 102
201112 97.7
201201 98.9
201202 102.9
201203 104.2
201204 107.8
201205 103.6
201206 98.6
201207 93.9
201208 92.2
201209 91.1
201210 88.9
201211 88
201212 88.6
201301 92
201302 94.1
201303 96.3
201304 95.9
201305 95.2
201306 94.3
201307 93.5
201308 93.1
201309 94
201310 95.6
201311 95.7
201312 95.6
201401 98.3
201402 100.7
201403 99
201404 100.5
201405 98.9
201406 95.1
201407 93
201408 95.4
201409 98.3
201410 93.3
201411 95
201412 94
201501 95.8
201502 100.7
201503 99
201504 101.5
201505 99.7
201506 88.7
201507 92.8
201508 94.3
201509 93.9
201510 94.5
201511 94.2
201512 90.9
201601 91
201602 89.6
201603 91.3
201604 94.4
201605 92.4
201606 92.1
201607 93.5
201608 95.6
201609 95
201610 93.7
201611 93.2
201612 91.5
201701 93.6
201702 95.6
201703 98.1
201704 97.7
201705 98.7
201706 97.8
201707 97
201708 98.2
201709 96.8
201710 100.2
201711 100.2
201712 99.9
