DATE PM10
199601 69.7419
199602 82.7241
199603 69.9032
199604 62.8333
199605 91.3548
199606 82.0667
199607 50.0645
199608 55.4194
199609 66.7333
199610 68.1935
199611 65.9000
199612 94.7419
199701 80.5806
199702 82.3214
199703 81.2903
199704 84.8000
199705 53.0645
199706 75.0000
199707 60.6774
199708 43.3226
199709 40.1000
199710 53.9355
199711 70.9333
199712 61.0968
199801 53.0968
199802 64.5357
199803 79.2258
199804 74.7333
199805 65.7419
199806 48.2333
199807 35.3226
199808 45.2258
199809 65.5667
199810 50.8065
199811 57.1000
199812 81.7419
199901 80.5484
199902 69.8571
199903 79.4839
199904 72.4333
199905 68.6452
199906 73.4667
199907 50.7742
199908 37.4194
199909 54.1000
199910 75.6452
199911 71.3333
199912 65.6129
200001 37.0000
200002 65.6552
200003 80.4194
200004 74.5667
200005 68.0968
200006 78.3667
200007 65.8710
200008 37.0968
200009 43.2667
200010 64.6774
200011 73.2000
200012 72.3226
200101 71.4839
200102 79.4286
200103 105.0645
200104 97.0667
200105 78.7742
200106 82.9667
200107 52.8387
200108 38.6452
200109 36.8000
200110 65.0000
200111 79.8333
200112 65.5806
200201 67.8710
200202 79.7500
200203 150.4839
200204 134.3667
200205 66.0968
200206 61.9000
200207 49.4839
200208 41.6129
200209 57.9333
200210 58.2581
200211 67.8000
200212 69.0645
200301 79.7742
200302 84.0000
200303 83.2903
200304 67.7667
200305 91.3548
200306 80.9333
200307 52.2903
200308 46.8387
200309 53.8667
200310 54.2903
200311 57.7667
200312 76.6129
200401 70.0000
200402 67.6207
200403 80.7097
200404 67.6000
200405 71.1613
200406 66.3000
200407 53.8065
200408 35.1290
200409 36.3333
200410 61.4194
200411 64.7333
200412 54.0000
200501 60.4194
200502 44.1071
200503 63.7097
200504 84.4667
200505 56.3226
200506 65.9333
200507 67.0323
200508 43.9355
200509 35.7667
200510 53.6774
200511 68.2000
200512 47.7742
200601 63.4839
200602 64.6071
200603 77.2258
200604 106.0667
200605 61.9355
200606 68.6667
200607 32.8065
200608 37.9677
200609 33.8333
200610 58.4194
200611 47.7333
200612 60.7742
200701 71.1613
200702 80.8214
200703 69.3871
200704 76.9667
200705 85.2903
200706 45.7667
200707 54.9677
200708 31.1290
200709 34.3000
200710 44.6452
200711 67.3667
200712 71.4516
200801 60.6774
200802 62.5517
200803 70.0968
200804 73.0333
200805 61.0323
200806 44.6000
200807 41.5484
200808 31.4516
200809 41.8667
200810 62.5161
200811 49.3333
200812 61.0000
200901 57.1290
200902 80.6429
200903 60.2903
200904 65.9667
200905 57.1935
200906 50.5667
200907 41.3226
200908 31.0968
200909 38.7667
200910 51.6129
200911 45.5333
200912 70.2903
201001 59.0968
201002 49.7143
201003 60.8065
201004 48.9667
201005 55.7419
201006 50.9000
201007 32.6452
201008 31.6774
201009 25.5000
201010 40.9355
201011 70.9000
201012 62.0968
201101 44.0323
201102 74.5714
201103 64.7742
201104 55.7667
201105 71.9355
201106 43.9333
201107 28.0968
201108 26.8710
201109 29.1000
201110 42.4839
201111 37.6333
201112 45.8065
201201 59.7097
201202 50.4483
201203 46.8065
201204 51.3333
201205 51.7097
201206 40.4333
201207 28.0645
201208 21.7419
201209 27.3000
201210 32.8387
201211 42.0000
201212 41.3226
201301 63.3548
201302 44.5714
201303 55.3871
201304 52.0000
201305 55.3871
201306 40.1000
201307 34.0968
201308 34.9355
201309 28.1333
201310 28.9677
201311 42.4667
201312 55.3226
201401 56.9355
201402 56.8929
201403 60.0968
201404 57.6000
201405 62.7419
201406 38.1667
201407 38.4516
201408 29.3226
201409 28.9000
201410 33.5806
201411 44.6667
201412 43.2258
201501 48.9355
201502 83.7143
201503 70.7419
201504 44.8000
201505 45.0000
201506 34.7667
201507 29.6129
201508 33.4516
201509 27.9333
201510 44.9355
201511 33.0000
201512 48.0968
201601 50.1290
201602 45.1724
201603 64.0000
201604 70.9000
201605 55.8387
201606 45.5667
201607 33.4839
201608 34.2903
201609 37.3667
201610 37.5806
201611 52.2333
201612 47.8710
