DATE PM10 TEMP_MEAN H_TEMP L_TEMP CLOUD RAIN TEMP_Range
19960101 55 -3.2 2.5 -7.9 0.0 0 10.4
19960102 74 0.2 3.9 -3.9 7.3 0.0 7.8
19960103 57 -4.5 5.5 -8.5 2.5 0.0 14.0
19960104 75 -5.4 -0.1 -10.7 1.5 0 10.6
19960105 86 -0.1 2.0 -2.1 10.0 2.0 4.1
19960106 118 4.5 9.0 1.6 5.0 0 7.4
19960107 92 2.9 5.0 0.9 7.5 1.3 4.1
19960108 45 -5.7 1.8 -9.4 3.5 0.6 11.2
19960109 40 -6.5 -1.6 -10.4 0.0 0 8.8
19960110 61 -4.3 -0.2 -7.8 0.0 0 7.6
19960111 117 -3.1 2.9 -7.7 2.0 0 10.6
19960112 117 0.5 9.4 -6.1 0.0 0 15.5
19960113 84 2.9 9.8 -1.3 4.3 0 11.1
19960114 61 3.8 5.1 2.9 9.0 7.2 2.2
19960115 63 2.0 3.4 0.6 9.8 3.7 2.8
19960116 40 -3.8 0.6 -7.4 1.5 0 8.0
19960117 44 -4.9 -1.3 -8.1 5.0 0 6.8
19960118 61 -3.9 0.1 -6.9 2.0 0 7.0
19960119 80 -2.5 1.7 -6.3 8.5 0 8.0
19960120 76 -0.8 3.2 -3.4 5.8 0 6.6
19960121 67 -1.0 2.9 -4.1 2.5 0 7.0
19960122 69 -0.8 3.2 -4.5 3.8 0 7.7
19960123 55 -2.6 0.2 -5.6 3.3 0 5.8
19960124 45 -4.3 -0.4 -7.2 0.0 0 6.8
19960125 49 -6.1 -2.6 -8.2 0.5 0 5.6
19960126 69 -5.6 -0.3 -9.9 0.0 0 9.6
19960127 87 -1.9 2.5 -6.0 6.8 0.0 8.5
19960128 114 1.5 6.1 -2.1 4.8 0.0 8.2
19960129 69 -1.1 3.2 -4.9 2.0 0.1 8.1
19960130 43 -6.2 -3.0 -9.1 0.0 0 6.1
19960131 49 -7.8 -2.3 -10.4 1.3 1.4 8.1
19960201 44 -8.7 -4.7 -10.5 1.3 0 5.8
19960202 47 -9.5 -4.7 -13.8 0.0 0 9.1
19960203 84 -5.0 0.9 -10.6 1.0 0 11.5
19960204 94 -0.7 2.7 -3.8 8.3 0.6 6.5
19960205 54 -6.0 -0.1 -8.3 0.5 0 8.2
19960206 62 -6.6 -2.1 -10.8 0.0 0 8.7
19960207 148 -4.4 0.0 -8.7 5.3 0 8.7
19960208 148 -3.3 1.3 -6.8 3.8 0.3 8.1
19960209 76 -5.9 -2.5 -8.2 1.5 0 5.7
19960210 60 -4.6 0.2 -9.0 0.0 0 9.2
19960211 62 -0.2 4.4 -5.3 9.0 0 9.7
19960212 127 6.5 11.2 3.2 5.3 0 8.0
19960213 198 8.3 14.0 4.3 4.8 0 9.7
19960214 235 6.7 10.8 2.9 2.5 0 7.9
19960215 59 1.2 5.8 -4.0 4.3 0 9.8
19960216 51 -2.3 2.8 -6.6 5.5 0 9.4
19960217 44 -2.0 3.2 -6.2 5.8 0 9.4
19960218 45 -2.1 3.1 -5.1 3.0 0.0 8.2
19960219 42 -3.4 1.5 -7.1 0.0 0 8.6
19960220 40 -4.1 0.3 -7.5 0.0 0 7.8
19960221 40 -3.8 1.1 -7.3 0.0 0 8.4
19960222 46 -2.1 3.2 -6.6 0.5 0 9.8
19960223 64 0.4 5.0 -3.6 0.0 0 8.6
19960224 92 0.8 6.8 -4.5 4.5 0 11.3
19960225 97 1.8 5.9 -1.2 4.3 0 7.1
19960226 103 1.9 7.5 -2.3 7.5 0.0 9.8
19960227 68 -1.4 3.4 -4.9 0.0 0 8.3
19960228 80 -0.2 5.2 -5.5 0.3 0 10.7
19960229 89 2.6 6.1 -0.9 8.5 0.1 7.0
19960301 58 1.2 5.0 -2.0 1.5 0.1 7.0
19960302 62 1.7 7.3 -2.6 0.8 0 9.9
19960303 53 2.2 7.6 -2.5 0.0 0 10.1
19960304 56 3.2 8.4 -0.3 3.5 0.0 8.7
19960305 66 3.2 9.2 -1.2 3.0 0 10.4
19960306 92 4.9 10.1 -0.7 7.0 0 10.8
19960307 52 6.0 8.1 2.3 10.0 9.5 5.8
19960308 75 3.1 6.9 0.5 4.3 0 6.4
19960309 69 3.1 5.9 1.1 5.8 0 4.8
19960310 48 2.7 7.7 -1.7 0.0 0 9.4
19960311 49 1.7 4.4 -1.0 0.0 0 5.4
19960312 69 0.9 5.9 -3.8 4.5 0 9.7
19960313 80 2.1 6.8 -1.6 4.5 0.0 8.4
19960314 101 8.6 12.6 5.9 10.0 0.0 6.7
19960315 116 9.5 14.8 6.4 6.5 0 8.4
19960316 94 6.3 10.4 3.9 8.5 21.8 6.5
19960317 41 4.5 6.6 0.2 10.0 1.8 6.4
19960318 46 1.9 6.0 -1.6 2.0 0.0 7.6
19960319 36 1.8 6.6 -2.3 3.0 0 8.9
19960320 86 5.1 13.2 -1.9 3.8 0 15.1
19960321 68 5.5 8.9 3.8 9.0 9.5 5.1
19960322 37 6.6 11.2 3.3 4.3 0.3 7.9
19960323 39 6.8 12.4 2.6 4.5 0 9.8
19960324 46 4.6 6.4 1.3 9.8 4.4 5.1
19960325 73 4.4 9.9 0.7 4.8 0.1 9.2
19960326 116 7.3 15.7 0.6 1.8 0 15.1
19960327 111 8.8 14.5 4.3 4.5 0 10.2
19960328 126 8.8 14.3 2.6 7.5 0 11.7
19960329 105 11.2 17.5 6.0 9.0 15.1 11.5
19960330 40 7.7 10.5 5.7 10.0 15.3 4.8
19960331 57 5.9 8.2 3.7 8.3 0 4.5
19960401 39 4.6 8.8 2.0 5.5 0 6.8
19960402 37 3.3 7.7 -0.9 0.8 0 8.6
19960403 45 3.9 8.6 0.1 1.5 0 8.5
19960404 45 5.4 10.9 0.3 0.0 0 10.6
19960405 86 8.5 15.0 4.1 1.8 0 10.9
19960406 95 6.8 11.1 5.2 9.3 7.7 5.9
19960407 71 8.3 12.1 6.0 8.3 0.2 6.1
19960408 63 9.3 15.8 3.3 1.5 0 12.5
19960409 55 9.8 15.2 5.3 5.3 0 9.9
19960410 53 7.6 12.2 4.2 3.3 0 8.0
19960411 48 6.0 10.9 1.6 2.0 0 9.3
19960412 57 7.1 13.0 1.5 0.0 0 11.5
19960413 67 8.1 14.1 1.8 1.5 0 12.3
19960414 56 9.9 15.8 4.8 0.0 0 11.0
19960415 77 9.9 16.1 4.6 4.5 0 11.5
19960416 62 10.1 14.1 6.2 5.8 2.5 7.9
19960417 51 9.5 11.9 5.9 7.5 17.5 6.0
19960418 67 8.8 14.0 4.6 1.8 0 9.4
19960419 80 9.4 15.5 3.8 2.0 0 11.7
19960420 64 10.9 15.5 5.7 1.3 0 9.8
19960421 79 10.0 15.4 5.9 0.3 0 9.5
19960422 66 12.4 17.5 5.9 0.8 0 11.6
19960423 58 13.8 19.4 7.8 1.5 0 11.6
19960424 74 14.3 20.0 7.8 3.0 0 12.2
19960425 73 16.0 20.6 11.9 8.8 0 8.7
19960426 64 17.3 22.4 12.0 2.0 0 10.4
19960427 91 17.5 23.3 14.0 7.8 0 9.3
19960428 76 18.1 22.9 13.4 7.0 0 9.5
19960429 51 15.7 18.7 13.3 10.0 12.4 5.4
19960430 35 14.7 15.8 13.5 10.0 21.7 2.3
19960501 37 14.4 17.1 11.1 10.0 3.5 6.0
19960502 101 15.1 21.8 10.1 4.8 3.1 11.7
19960503 114 17.8 25.4 11.1 8.8 0 14.3
19960504 68 15.6 19.3 12.9 9.5 4.2 6.4
19960505 76 14.9 20.4 10.1 0.0 0 10.3
19960506 97 15.6 22.3 10.9 9.0 0 11.4
19960507 101 16.8 23.7 12.8 9.3 0.1 10.9
19960508 121 14.4 19.2 11.7 5.5 12.3 7.5
19960509 80 14.4 19.1 10.0 2.5 0 9.1
19960510 92 15.5 22.3 9.8 2.5 0 12.5
19960511 102 15.3 19.5 12.3 3.5 0 7.2
19960512 87 15.1 20.6 10.3 1.8 0 10.3
19960513 70 16.6 21.8 11.2 3.3 0.0 10.6
19960514 108 16.8 22.1 12.1 5.0 0 10.0
19960515 80 19.7 27.3 12.5 0.0 0 14.8
19960516 112 20.8 28.2 14.0 0.0 0 14.2
19960517 104 22.3 29.5 14.2 4.0 0 15.3
19960518 95 22.5 28.4 16.4 4.0 0 12.0
19960519 74 18.8 24.2 14.5 6.8 0.2 9.7
19960520 79 17.9 21.3 15.2 8.8 5.5 6.1
19960521 76 16.8 21.5 13.0 5.5 0.4 8.5
19960522 70 17.8 24.5 11.4 0.8 0 13.1
19960523 86 19.7 26.8 13.4 2.5 0 13.4
19960524 79 20.8 27.1 14.3 0.0 0 12.8
19960525 74 20.6 27.1 14.8 0.0 0 12.3
19960526 77 21.0 27.5 15.6 1.0 0 11.9
19960527 95 20.7 28.7 15.1 2.8 0 13.6
19960528 116 22.3 28.3 16.7 3.5 0 11.6
19960529 111 23.4 28.6 18.9 8.3 0 9.7
19960530 93 22.1 25.1 18.5 5.8 0.0 6.6
19960531 157 23.6 31.4 16.9 0.0 0 14.5
19960601 146 25.2 32.7 19.2 0.0 0 13.5
19960602 120 23.3 28.1 19.6 7.3 0 8.5
19960603 72 21.0 24.1 18.9 9.5 0.1 5.2
19960604 72 21.8 28.5 16.7 7.8 0 11.8
19960605 70 23.1 30.3 16.5 0.8 0 13.8
19960606 79 23.3 29.8 16.6 5.8 0 13.2
19960607 90 22.8 24.6 21.2 9.8 0.3 3.4
19960608 96 24.6 31.4 20.5 6.8 0 10.9
19960609 115 24.1 30.3 20.3 7.5 0.0 10.0
19960610 56 20.1 21.7 19.6 10.0 67.9 2.1
19960611 72 21.5 25.9 19.1 10.0 0.0 6.8
19960612 122 23.4 28.7 18.1 5.8 0 10.6
19960613 144 24.2 29.2 21.8 9.5 0.0 7.4
19960614 68 22.6 26.4 20.2 8.3 0 6.2
19960615 84 23.9 28.6 20.6 8.5 0.0 8.0
19960616 80 24.0 28.4 21.2 8.5 3.2 7.2
19960617 52 21.2 24.0 17.9 10.0 83.2 6.1
19960618 26 19.7 26.0 15.1 7.0 18.9 10.9
19960619 96 21.9 28.0 18.5 9.0 0 9.5
19960620 75 20.8 23.6 19.6 10.0 5.8 4.0
19960621 87 22.1 26.1 19.5 9.5 2.0 6.6
19960622 99 22.9 26.6 21.0 8.0 0.0 5.6
19960623 120 22.9 27.1 20.3 9.5 0.0 6.8
