DATE PM2p5 PM10
20140101 25 117
20140102 19 52
20140103 26 59
20140104 20 44
20140105 22 42
20140106 37 66
20140107 47 84
20140108 38 67
20140109 7 20
20140110 18 34
20140111 27 50
20140112 28 58
20140113 11 27
20140114 21 41
20140115 30 56
20140116 53 96
20140117 64 117
20140118 25 57
20140119 25 48
20140120 34 63
20140121 63 103
20140122 58 94
20140123 35 56
20140124 38 60
20140125 30 50
20140126 17 34
20140127 20 37
20140128 13 30
20140129 19 41
20140130 20 39
20140131 11 23
20140201 14 25
20140202 13 20
20140203 14 61
20140204 11 33
20140205 18 41
20140206 23 46
20140207 9 17
20140208 6 10
20140209 14 19
20140210 17 26
20140211 11 18
20140212 13 22
20140213 15 24
20140214 11 18
20140215 19 32
20140216 34 59
20140217 41 75
20140218 13 21
20140219 17 29
20140220 36 65
20140221 35 65
20140222 51 91
20140223 58 102
20140224 84 155
20140225 86 162
20140226 73 133
20140227 62 114
20140228 58 110
20140301 45 90
20140302 13 28
20140303 26 57
20140304 39 81
20140305 17 37
20140306 15 32
20140307 12 28
20140308 19 40
20140309 18 34
20140310 17 36
20140311 26 47
20140312 20 40
20140313 27 44
20140314 36 61
20140315 44 90
20140316 44 93
20140317 31 62
20140318 36 120
20140319 35 117
20140320 25 62
20140321 15 30
20140322 24 54
20140323 39 78
20140324 28 54
20140325 26 52
20140326 33 63
20140327 42 81
20140328 51 105
20140329 27 51
20140330 23 35
20140331 28 61
20140401 27 66
20140402 26 59
20140403 26 54
20140404 10 21
20140405 17 40
20140406 13 37
20140407 22 63
20140408 21 46
20140409 36 66
20140410 33 60
20140411 34 67
20140412 36 73
20140413 40 73
20140414 35 66
20140415 38 71
20140416 71 146
20140417 46 85
20140418 34 63
20140419 24 44
20140420 23 40
20140421 27 54
20140422 27 55
20140423 45 81
20140424 59 106
20140425 36 63
20140426 28 54
20140427 16 26
20140428 8 11
20140429 7 13
20140430 12 25
20140501 22 50
20140502 36 76
20140503 14 26
20140504 17 37
20140505 15 36
20140506 16 39
20140507 19 43
20140508 19 33
20140509 22 40
20140510 19 34
20140511 16 29
20140512 24 40
20140513 43 88
20140514 37 75
20140515 22 47
20140516 21 51
20140517 27 56
20140518 27 50
20140519 29 57
20140520 26 70
20140521 22 54
20140522 25 46
20140523 36 70
20140524 32 65
20140525 25 47
20140526 21 77
20140527 41 147
20140528 53 164
20140529 45 120
20140530 22 69
20140531 40 109
20140601 36 86
20140602 36 79
20140603 13 24
20140604 10 19
20140605 10 18
20140606 14 27
20140607 18 34
20140608 19 31
20140609 22 38
20140610 18 31
20140611 11 20
20140612 14 25
20140613 30 51
20140614 21 35
20140615 24 39
20140616 19 33
20140617 44 69
20140618 34 54
20140619 29 48
20140620 30 50
20140621 15 24
20140622 13 20
20140623 18 30
20140624 22 38
20140625 29 47
20140626 28 45
20140627 20 32
20140628 21 35
20140629 19 31
20140630 20 32
20140701 28 42
20140702 40 68
20140703 14 22
20140704 11 18
20140705 18 30
20140706 16 23
20140707 18 31
20140708 17 27
20140709 11 20
20140710 15 30
20140711 33 57
20140712 43 68
