DATE PM2p5 PM10 AMI STR
201501 25 49 550 1912
201502 30 84 515 1829
201503 30 71 570 1994
201504 21 45 563 1906
201505 22 45 588 1960
201506 20 35 420 1498
201507 19 30 477 1767
201508 22 34 525 1850
201509 16 28 561 1811
201510 24 44 546 1994
201511 21 33 537 1933
201512 28 48 615 1990
201601 27 50 534 1828
201602 23 45 584 1970
201603 32 64 629 2050
201604 30 71 551 1963
201605 29 56 601 2059
201606 28 46 522 1985
201607 21 33 532 2010
201608 22 34 540 1906
201609 23 37 538 2023
201610 20 38 567 2121
201611 28 52 532 2049
201612 30 48 589 2042
