PM10 TEMP_MEAN H_TEMP L_TEMP CLOUD RAIN TEMP_Range
55 -3.2 2.5 -7.9 0.0 0 10.4
74 0.2 3.9 -3.9 7.3 0.0 7.8
57 -4.5 5.5 -8.5 2.5 0.0 14.0
75 -5.4 -0.1 -10.7 1.5 0 10.6
86 -0.1 2.0 -2.1 10.0 2.0 4.1
118 4.5 9.0 1.6 5.0 0 7.4
92 2.9 5.0 0.9 7.5 1.3 4.1
45 -5.7 1.8 -9.4 3.5 0.6 11.2
40 -6.5 -1.6 -10.4 0.0 0 8.8
61 -4.3 -0.2 -7.8 0.0 0 7.6
117 -3.1 2.9 -7.7 2.0 0 10.6
117 0.5 9.4 -6.1 0.0 0 15.5
84 2.9 9.8 -1.3 4.3 0 11.1
61 3.8 5.1 2.9 9.0 7.2 2.2
63 2.0 3.4 0.6 9.8 3.7 2.8
40 -3.8 0.6 -7.4 1.5 0 8.0
44 -4.9 -1.3 -8.1 5.0 0 6.8
61 -3.9 0.1 -6.9 2.0 0 7.0
80 -2.5 1.7 -6.3 8.5 0 8.0
76 -0.8 3.2 -3.4 5.8 0 6.6
67 -1.0 2.9 -4.1 2.5 0 7.0
69 -0.8 3.2 -4.5 3.8 0 7.7
55 -2.6 0.2 -5.6 3.3 0 5.8
45 -4.3 -0.4 -7.2 0.0 0 6.8
49 -6.1 -2.6 -8.2 0.5 0 5.6
69 -5.6 -0.3 -9.9 0.0 0 9.6
87 -1.9 2.5 -6.0 6.8 0.0 8.5
114 1.5 6.1 -2.1 4.8 0.0 8.2
69 -1.1 3.2 -4.9 2.0 0.1 8.1
43 -6.2 -3.0 -9.1 0.0 0 6.1
49 -7.8 -2.3 -10.4 1.3 1.4 8.1
44 -8.7 -4.7 -10.5 1.3 0 5.8
47 -9.5 -4.7 -13.8 0.0 0 9.1
84 -5.0 0.9 -10.6 1.0 0 11.5
94 -0.7 2.7 -3.8 8.3 0.6 6.5
54 -6.0 -0.1 -8.3 0.5 0 8.2
62 -6.6 -2.1 -10.8 0.0 0 8.7
148 -4.4 0.0 -8.7 5.3 0 8.7
148 -3.3 1.3 -6.8 3.8 0.3 8.1
76 -5.9 -2.5 -8.2 1.5 0 5.7
60 -4.6 0.2 -9.0 0.0 0 9.2
62 -0.2 4.4 -5.3 9.0 0 9.7
127 6.5 11.2 3.2 5.3 0 8.0
198 8.3 14.0 4.3 4.8 0 9.7
235 6.7 10.8 2.9 2.5 0 7.9
59 1.2 5.8 -4.0 4.3 0 9.8
51 -2.3 2.8 -6.6 5.5 0 9.4
44 -2.0 3.2 -6.2 5.8 0 9.4
45 -2.1 3.1 -5.1 3.0 0.0 8.2
42 -3.4 1.5 -7.1 0.0 0 8.6
40 -4.1 0.3 -7.5 0.0 0 7.8
40 -3.8 1.1 -7.3 0.0 0 8.4
46 -2.1 3.2 -6.6 0.5 0 9.8
64 0.4 5.0 -3.6 0.0 0 8.6
92 0.8 6.8 -4.5 4.5 0 11.3
97 1.8 5.9 -1.2 4.3 0 7.1
103 1.9 7.5 -2.3 7.5 0.0 9.8
68 -1.4 3.4 -4.9 0.0 0 8.3
80 -0.2 5.2 -5.5 0.3 0 10.7
89 2.6 6.1 -0.9 8.5 0.1 7.0
58 1.2 5.0 -2.0 1.5 0.1 7.0
62 1.7 7.3 -2.6 0.8 0 9.9
53 2.2 7.6 -2.5 0.0 0 10.1
56 3.2 8.4 -0.3 3.5 0.0 8.7
66 3.2 9.2 -1.2 3.0 0 10.4
92 4.9 10.1 -0.7 7.0 0 10.8
52 6.0 8.1 2.3 10.0 9.5 5.8
75 3.1 6.9 0.5 4.3 0 6.4
69 3.1 5.9 1.1 5.8 0 4.8
48 2.7 7.7 -1.7 0.0 0 9.4
49 1.7 4.4 -1.0 0.0 0 5.4
69 0.9 5.9 -3.8 4.5 0 9.7
80 2.1 6.8 -1.6 4.5 0.0 8.4
101 8.6 12.6 5.9 10.0 0.0 6.7
116 9.5 14.8 6.4 6.5 0 8.4
94 6.3 10.4 3.9 8.5 21.8 6.5
41 4.5 6.6 0.2 10.0 1.8 6.4
46 1.9 6.0 -1.6 2.0 0.0 7.6
36 1.8 6.6 -2.3 3.0 0 8.9
86 5.1 13.2 -1.9 3.8 0 15.1
68 5.5 8.9 3.8 9.0 9.5 5.1
37 6.6 11.2 3.3 4.3 0.3 7.9
39 6.8 12.4 2.6 4.5 0 9.8
46 4.6 6.4 1.3 9.8 4.4 5.1
73 4.4 9.9 0.7 4.8 0.1 9.2
116 7.3 15.7 0.6 1.8 0 15.1
111 8.8 14.5 4.3 4.5 0 10.2
126 8.8 14.3 2.6 7.5 0 11.7
105 11.2 17.5 6.0 9.0 15.1 11.5
40 7.7 10.5 5.7 10.0 15.3 4.8
57 5.9 8.2 3.7 8.3 0 4.5
39 4.6 8.8 2.0 5.5 0 6.8
37 3.3 7.7 -0.9 0.8 0 8.6
45 3.9 8.6 0.1 1.5 0 8.5
45 5.4 10.9 0.3 0.0 0 10.6
86 8.5 15.0 4.1 1.8 0 10.9
95 6.8 11.1 5.2 9.3 7.7 5.9
71 8.3 12.1 6.0 8.3 0.2 6.1
63 9.3 15.8 3.3 1.5 0 12.5
55 9.8 15.2 5.3 5.3 0 9.9
53 7.6 12.2 4.2 3.3 0 8.0
48 6.0 10.9 1.6 2.0 0 9.3
57 7.1 13.0 1.5 0.0 0 11.5
67 8.1 14.1 1.8 1.5 0 12.3
56 9.9 15.8 4.8 0.0 0 11.0
77 9.9 16.1 4.6 4.5 0 11.5
62 10.1 14.1 6.2 5.8 2.5 7.9
51 9.5 11.9 5.9 7.5 17.5 6.0
67 8.8 14.0 4.6 1.8 0 9.4
80 9.4 15.5 3.8 2.0 0 11.7
64 10.9 15.5 5.7 1.3 0 9.8
79 10.0 15.4 5.9 0.3 0 9.5
66 12.4 17.5 5.9 0.8 0 11.6
58 13.8 19.4 7.8 1.5 0 11.6
74 14.3 20.0 7.8 3.0 0 12.2
73 16.0 20.6 11.9 8.8 0 8.7
64 17.3 22.4 12.0 2.0 0 10.4
91 17.5 23.3 14.0 7.8 0 9.3
76 18.1 22.9 13.4 7.0 0 9.5
51 15.7 18.7 13.3 10.0 12.4 5.4
35 14.7 15.8 13.5 10.0 21.7 2.3
37 14.4 17.1 11.1 10.0 3.5 6.0
101 15.1 21.8 10.1 4.8 3.1 11.7
114 17.8 25.4 11.1 8.8 0 14.3
68 15.6 19.3 12.9 9.5 4.2 6.4
76 14.9 20.4 10.1 0.0 0 10.3
97 15.6 22.3 10.9 9.0 0 11.4
101 16.8 23.7 12.8 9.3 0.1 10.9
121 14.4 19.2 11.7 5.5 12.3 7.5
80 14.4 19.1 10.0 2.5 0 9.1
92 15.5 22.3 9.8 2.5 0 12.5
102 15.3 19.5 12.3 3.5 0 7.2
87 15.1 20.6 10.3 1.8 0 10.3
70 16.6 21.8 11.2 3.3 0.0 10.6
108 16.8 22.1 12.1 5.0 0 10.0
80 19.7 27.3 12.5 0.0 0 14.8
112 20.8 28.2 14.0 0.0 0 14.2
104 22.3 29.5 14.2 4.0 0 15.3
95 22.5 28.4 16.4 4.0 0 12.0
74 18.8 24.2 14.5 6.8 0.2 9.7
79 17.9 21.3 15.2 8.8 5.5 6.1
76 16.8 21.5 13.0 5.5 0.4 8.5
70 17.8 24.5 11.4 0.8 0 13.1
86 19.7 26.8 13.4 2.5 0 13.4
79 20.8 27.1 14.3 0.0 0 12.8
74 20.6 27.1 14.8 0.0 0 12.3
77 21.0 27.5 15.6 1.0 0 11.9
95 20.7 28.7 15.1 2.8 0 13.6
116 22.3 28.3 16.7 3.5 0 11.6
111 23.4 28.6 18.9 8.3 0 9.7
93 22.1 25.1 18.5 5.8 0.0 6.6
157 23.6 31.4 16.9 0.0 0 14.5
146 25.2 32.7 19.2 0.0 0 13.5
120 23.3 28.1 19.6 7.3 0 8.5
72 21.0 24.1 18.9 9.5 0.1 5.2
72 21.8 28.5 16.7 7.8 0 11.8
70 23.1 30.3 16.5 0.8 0 13.8
79 23.3 29.8 16.6 5.8 0 13.2
90 22.8 24.6 21.2 9.8 0.3 3.4
96 24.6 31.4 20.5 6.8 0 10.9
