DATE PM10 PM2p5 O3 NO2 CO SO2 TOT_WORD POS_NUM NEG_NUM POS_PRO NEG_PRO
20180501 60 46 0.035 0.024 0.5 0.004 11 0 2 0 0.181818181818182
20180501 60 46 0.035 0.024 0.5 0.004 22 1 1 0.0454545454545455 0.0454545454545455
20180501 60 46 0.035 0.024 0.5 0.004 4 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 7 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 17 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 19 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 30 0 2 0 0.0666666666666667
20180501 60 46 0.035 0.024 0.5 0.004 1 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 23 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 20 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 17 0 1 0 0.0588235294117647
20180501 60 46 0.035 0.024 0.5 0.004 4 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 5 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 16 1 1 0.0625 0.0625
20180501 60 46 0.035 0.024 0.5 0.004 25 1 2 0.04 0.08
20180501 60 46 0.035 0.024 0.5 0.004 11 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 33 2 2 0.0606060606060606 0.0606060606060606
20180501 60 46 0.035 0.024 0.5 0.004 27 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 27 0 1 0 0.037037037037037
20180501 60 46 0.035 0.024 0.5 0.004 29 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 10 1 1 0.1 0.1
20180501 60 46 0.035 0.024 0.5 0.004 4 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 16 1 1 0.0625 0.0625
20180501 60 46 0.035 0.024 0.5 0.004 6 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 25 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 6 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 1 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 10 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 3 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 21 0 1 0 0.0476190476190476
20180501 60 46 0.035 0.024 0.5 0.004 8 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 25 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 4 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 24 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 7 1 0 0.142857142857143 0
20180501 60 46 0.035 0.024 0.5 0.004 32 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 7 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 2 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 7 1 1 0.142857142857143 0.142857142857143
20180501 60 46 0.035 0.024 0.5 0.004 4 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 11 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 22 1 1 0.0454545454545455 0.0454545454545455
20180501 60 46 0.035 0.024 0.5 0.004 4 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 11 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 9 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 22 1 0 0.0454545454545455 0
20180501 60 46 0.035 0.024 0.5 0.004 5 1 0 0.2 0
20180501 60 46 0.035 0.024 0.5 0.004 11 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 5 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 3 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 30 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 22 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 26 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 12 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 28 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 12 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 10 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 3 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 3 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 31 2 2 0.0645161290322581 0.0645161290322581
20180501 60 46 0.035 0.024 0.5 0.004 9 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 11 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 6 0 0 0 0
20180501 60 46 0.035 0.024 0.5 0.004 26 0 1 0 0.0384615384615385
20180501 60 46 0.035 0.024 0.5 0.004 26 0 0 0 0
