DATE PM10 PM2p5 O3 NO2 CO SO2 TOT_WORD POS_NUM NEG_NUM POS_PRO NEG_PRO
20180507 37 19 0.027 0.029 0.5 0.004 5 0 1 0 0.2
20180507 37 19 0.027 0.029 0.5 0.004 21 0 0 0 0
20180507 37 19 0.027 0.029 0.5 0.004 5 0 1 0 0.2
20180507 37 19 0.027 0.029 0.5 0.004 4 0 0 0 0
20180507 37 19 0.027 0.029 0.5 0.004 13 0 2 0 0.153846153846154
20180507 37 19 0.027 0.029 0.5 0.004 32 1 2 0.03125 0.0625
20180507 37 19 0.027 0.029 0.5 0.004 33 0 1 0 0.0303030303030303
20180507 37 19 0.027 0.029 0.5 0.004 10 0 0 0 0
20180507 37 19 0.027 0.029 0.5 0.004 9 0 0 0 0
20180507 37 19 0.027 0.029 0.5 0.004 17 0 1 0 0.0588235294117647
20180507 37 19 0.027 0.029 0.5 0.004 18 1 1 0.0555555555555556 0.0555555555555556
20180507 37 19 0.027 0.029 0.5 0.004 18 1 0 0.0555555555555556 0
20180507 37 19 0.027 0.029 0.5 0.004 16 0 4 0 0.25
20180507 37 19 0.027 0.029 0.5 0.004 7 0 1 0 0.142857142857143
20180507 37 19 0.027 0.029 0.5 0.004 10 0 1 0 0.1
20180507 37 19 0.027 0.029 0.5 0.004 10 0 0 0 0
20180507 37 19 0.027 0.029 0.5 0.004 11 0 0 0 0
20180507 37 19 0.027 0.029 0.5 0.004 13 1 3 0.0769230769230769 0.230769230769231
20180507 37 19 0.027 0.029 0.5 0.004 24 1 1 0.0416666666666667 0.0416666666666667
20180507 37 19 0.027 0.029 0.5 0.004 14 0 0 0 0
20180507 37 19 0.027 0.029 0.5 0.004 33 0 0 0 0
20180507 37 19 0.027 0.029 0.5 0.004 7 0 0 0 0
20180507 37 19 0.027 0.029 0.5 0.004 11 0 0 0 0
