DATE PM10 TEMP_MEAN H_TEMP L_TEMP CLOUD RAIN TEMP_Range BrainB
199601 69.7419 -2.1871 2.3290 -5.6097 3.5548 0.5258 7.9387 3220
199602 82.7241 -1.5897 3.1828 -5.4724 3.0172 0.0345 8.6552 3043
199603 69.9032 4.8806 9.4516 1.0226 5.2323 2.5129 8.4290 3174
199604 62.8333 10.2333 15.1433 5.8533 3.8300 2.0667 9.2900 2946
199605 91.3548 18.3581 24.1968 13.2839 4.1710 0.9452 10.9129 2673
199606 82.0667 22.2933 26.5067 19.0800 8.0500 8.3233 7.4267 2613
199607 50.0645 24.3774 28.3161 21.2194 7.6355 16.5419 7.0968 2631
199608 55.4194 26.0355 29.8194 22.9452 6.1645 4.2710 6.8742 2515
199609 66.7333 21.9767 27.3067 17.5300 3.8600 0.3667 9.7767 2570
199610 68.1935 14.4839 19.4161 10.0161 4.2968 2.9129 9.4000 3143
199611 65.9000 6.1367 10.2800 2.4267 4.5100 2.0967 7.8533 2941
199612 94.7419 1.5774 5.9903 -2.4710 3.5645 0.3548 8.4613 3121
199701 80.5806 -3.2839 1.1581 -7.1194 3.1645 0.5419 8.2774 3350
199702 82.3214 0.6714 5.6321 -3.5107 2.6071 1.4143 9.1429 2858
199703 81.2903 6.8129 11.8484 2.5065 3.2387 0.8161 9.3419 3129
199704 84.8000 12.9533 18.1133 8.4033 3.7800 1.8700 9.7100 2975
199705 53.0645 17.0194 21.5000 12.9129 6.2516 9.3968 8.5871 2816
199706 75.0000 23.3667 28.5100 18.8900 4.7867 3.6667 9.6200 2574
199707 60.6774 26.1161 30.0645 22.8258 5.8290 9.6645 7.2387 2444
199708 43.3226 26.8484 31.3032 23.2258 4.9484 3.7806 8.0774 2362
199709 40.1000 20.1733 25.4267 15.7067 3.9433 2.5633 9.7200 2533
199710 53.9355 13.4226 19.0419 8.2065 2.3871 1.4677 10.8355 3040
199711 70.9333 8.8400 13.6600 4.5600 3.9700 3.1267 9.1000 2808
199712 61.0968 1.7871 5.7129 -1.7774 4.1903 1.2290 7.4903 3077
199801 53.0968 -1.3581 2.8194 -4.7194 3.9968 0.3355 7.5387 2852
199802 64.5357 3.3500 7.7714 -0.5857 4.1071 1.1536 8.3571 2629
199803 79.2258 7.3290 12.4645 2.8226 3.6000 1.4548 9.6419 3007
199804 74.7333 15.6100 20.9333 11.1467 5.5167 4.0067 9.7867 2963
199805 65.7419 19.0452 24.3226 14.0226 5.1355 3.9194 10.3000 2875
199806 48.2333 21.8767 26.3500 18.0000 6.3467 7.8033 8.3500 2605
199807 35.3226 24.9161 28.5516 21.9419 7.0097 10.0581 6.6097 2538
199808 45.2258 25.0129 28.8161 22.1065 7.5097 39.9290 6.7097 2566
199809 65.5667 22.9800 27.7633 18.9533 5.0233 5.9300 8.8100 2814
199810 50.8065 17.0452 21.9613 12.7000 4.6968 0.8839 9.2613 2999
