DATE PM2p5 PM10 CO O3 NO2 SO2
20140101 25 117 0.6 0.013 0.032 0.010
20140102 19 52 0.7 0.010 0.038 0.008
20140103 26 59 0.9 0.004 0.055 0.008
20140104 20 44 0.6 0.009 0.034 0.006
20140105 22 42 0.7 0.007 0.037 0.006
20140106 37 66 1.0 0.004 0.055 0.009
20140107 47 84 1.1 0.003 0.065 0.011
20140108 38 67 0.7 0.012 0.035 0.008
20140109 7 20 0.3 0.022 0.017 0.004
20140110 18 34 0.6 0.007 0.040 0.007
20140111 27 50 0.8 0.006 0.049 0.008
20140112 28 58 0.7 0.014 0.034 0.008
20140113 11 27 0.4 0.016 0.026 0.005
20140114 21 41 0.6 0.009 0.040 0.007
20140115 30 56 0.8 0.009 0.044 0.008
20140116 53 96 1.1 0.003 0.059 0.011
20140117 64 117 1.3 0.005 0.058 0.009
20140118 25 57 0.6 0.019 0.025 0.007
20140119 25 48 0.6 0.010 0.036 0.008
20140120 34 63 0.7 0.008 0.037 0.006
20140121 63 103 0.8 0.016 0.029 0.011
20140122 58 94 0.9 0.008 0.051 0.009
20140123 35 56 1.0 0.005 0.060 0.008
20140124 38 60 1.0 0.003 0.061 0.008
20140125 30 50 1.0 0.006 0.047 0.007
20140126 17 34 0.4 0.018 0.025 0.005
20140127 20 37 0.7 0.005 0.050 0.007
20140128 13 30 0.5 0.012 0.036 0.005
20140129 19 41 0.8 0.005 0.055 0.006
20140130 20 39 0.6 0.012 0.038 0.006
20140131 11 23 0.5 0.012 0.033 0.005
20140201 14 25 0.7 0.005 0.041 0.005
20140202 13 20 0.7 0.008 0.033 0.004
20140203 14 61 0.4 0.021 0.017 0.004
20140204 11 33 0.4 0.024 0.016 0.005
20140205 18 41 0.5 0.015 0.030 0.007
20140206 23 46 0.7 0.008 0.043 0.006
20140207 9 17 0.4 0.017 0.026 0.005
20140208 6 10 0.4 0.019 0.022 0.003
20140209 14 19 0.4 0.022 0.020 0.004
20140210 17 26 0.5 0.020 0.027 0.004
20140211 11 18 0.4 0.017 0.030 0.004
20140212 13 22 0.5 0.012 0.035 0.004
